labels,scores
0,1.07E-36
0,3.17E-36
0,2.50E-36
0,4.30E-37
0,3.50E-37
0,1.01E-36
0,1.14E-36
0,1.89E-36
0,2.80E-36
0,2.43E-36
0,4.66E-36
0,9.40E-36
0,1.32E-37
0,2.63E-36
0,1.86E-36
0,1.38E-36
0,1.51E-36
0,9.84E-38
0,2.44E-37
0,2.41E-36
0,9.71E-38
0,7.75E-37
0,3.39E-37
0,1.85E-36
0,9.38E-36
0,2.58E-36
0,2.71E-35
0,1.78E-37
0,5.97E-36
0,1.35E-36
0,1.57E-35
0,1.89E-35
0,1.67E-36
0,2.15E-37
0,2.23E-36
0,7.78E-37
0,4.41E-36
0,6.65E-37
0,3.47E-36
0,2.65E-36
0,2.98E-35
0,1.68E-37
0,2.10E-37
0,2.66E-36
0,5.73E-37
0,2.08E-36
0,3.92E-37
0,3.70E-37
0,7.08E-36
0,1.18E-36
0,6.26E-37
0,4.03E-36
0,1.74E-37
0,1.17E-36
0,5.48E-36
0,4.73E-37
0,1.06E-36
0,1.77E-36
0,3.27E-36
0,1.65E-36
0,6.42E-36
0,1.75E-35
0,2.09E-36
0,6.00E-37
0,3.72E-36
0,1.80E-36
0,6.60E-36
0,7.97E-37
0,3.31E-36
0,1.16E-35
0,1.46E-36
0,4.20E-36
0,2.88E-36
0,1.11E-36
0,1.15E-36
0,1.77E-36
0,1.47E-36
0,2.10E-35
0,8.19E-37
0,5.07E-37
0,4.51E-37
0,2.66E-37
0,1.03E-36
0,2.13E-36
0,4.60E-36
0,6.15E-36
0,5.44E-37
0,3.44E-36
0,7.36E-37
0,1.35E-36
0,2.26E-36
0,4.56E-36
0,2.28E-36
0,1.27E-36
0,1.77E-36
0,1.22E-36
0,2.15E-36
0,9.42E-36
0,4.66E-36
0,8.70E-37
0,6.61E-37
0,3.78E-36
0,8.93E-37
0,2.63E-36
0,5.46E-37
0,8.38E-37
0,2.25E-37
0,1.20E-36
0,7.26E-36
0,3.27E-36
0,3.76E-37
0,4.59E-37
