labels,scores
0,1.11E-08
0,4.96E-08
0,1.14E-08
0,2.13E-08
0,3.76E-07
0,4.10E-08
0,5.83E-08
0,4.26E-08
0,3.38E-07
0,2.52E-07
0,1.10E-07
0,8.98E-08
0,1.42E-07
0,1.77E-08
0,4.70E-08
0,2.53E-08
0,5.89E-08
0,1.00E-07
0,2.24E-08
0,8.25E-08
0,1.15E-07
0,6.23E-08
0,6.51E-08
0,5.13E-08
0,6.09E-09
0,2.90E-08
0,7.22E-08
0,8.55E-08
0,7.35E-09
0,3.60E-08
0,4.51E-08
0,1.80E-07
0,1.61E-08
0,1.63E-07
0,9.91E-08
0,1.18E-08
0,2.36E-09
0,7.31E-09
0,8.76E-07
0,1.90E-08
0,2.79E-07
0,8.49E-08
0,6.70E-08
0,4.48E-08
0,8.34E-09
0,3.59E-08
0,2.85E-08
0,9.01E-07
0,8.50E-09
0,1.32E-07
0,5.50E-08
0,1.44E-07
0,2.56E-07
0,1.38E-07
0,1.43E-07
0,3.98E-07
0,2.80E-07
0,5.87E-08
0,4.28E-08
0,1.13E-07
0,9.06E-08
0,1.72E-07
0,4.21E-08
0,8.49E-08
0,3.19E-08
0,3.34E-07
0,6.57E-08
0,1.65E-08
0,3.25E-08
0,1.06E-07
0,1.80E-07
0,2.63E-08
0,6.17E-07
0,9.37E-08
0,5.19E-08
0,3.58E-08
0,8.07E-08
0,3.97E-08
0,1.52E-08
0,6.07E-08
0,5.20E-07
0,4.54E-08
0,3.58E-08
0,4.36E-08
0,2.71E-07
0,1.48E-06
0,2.45E-07
0,6.38E-08
0,2.58E-08
0,2.11E-07
0,4.55E-07
0,7.94E-09
0,8.57E-08
0,3.44E-08
0,3.08E-08
0,4.88E-07
0,1.11E-07
0,2.58E-07
0,5.14E-08
0,1.12E-07
0,6.83E-08
0,3.35E-08
0,2.34E-07
0,8.05E-08
0,8.94E-07
0,1.79E-07
0,1.76E-07
0,7.83E-08
0,3.55E-07
0,2.36E-08
0,6.11E-08
0,1.62E-07
0,2.99E-08
0,6.14E-08
0,1.26E-06
0,1.33E-07
0,2.63E-08
0,6.52E-08
0,4.67E-07
0,4.94E-08
0,1.19E-08
0,7.00E-08
0,5.91E-08
0,7.75E-08
0,1.10E-07
0,2.99E-07
0,2.81E-07
0,3.39E-08
0,7.88E-07
0,2.71E-08
0,4.23E-08
0,4.85E-08
0,3.54E-07
0,3.25E-08
0,1.57E-06
0,8.86E-07
0,1.67E-07
0,1.80E-07
0,7.01E-08
0,1.32E-07
0,4.09E-08
0,4.58E-08
0,2.37E-08
0,7.86E-08
0,4.56E-08
0,1.62E-08
0,5.80E-08
0,3.84E-08
0,7.38E-08
0,6.38E-08
0,3.64E-07
0,8.85E-09
0,2.46E-08
0,2.34E-07
0,4.63E-08
0,1.20E-07
0,1.33E-07
0,1.28E-07
0,4.76E-08
0,1.25E-07
0,2.58E-08
0,1.47E-07
0,6.37E-07
0,5.24E-08
0,1.47E-07
0,7.79E-08
0,1.05E-08
0,5.04E-08
0,5.40E-07
0,3.14E-08
0,1.39E-07
0,9.11E-08
0,1.35E-07
0,8.75E-08
0,3.84E-07
0,5.62E-08
0,3.31E-08
0,4.09E-08
0,2.17E-07
0,1.01E-07
0,3.06E-08
0,2.02E-08
0,1.03E-07
0,1.14E-08
0,3.48E-08
0,3.95E-07
0,5.36E-08
0,5.70E-08
0,2.24E-08
0,3.23E-07
0,3.01E-07
0,2.82E-09
0,1.66E-08
0,3.50E-09
0,6.71E-09
0,1.64E-07
0,1.85E-08
0,1.19E-07
0,2.67E-07
0,4.53E-08
0,6.97E-08
0,3.97E-07
0,4.53E-08
0,3.46E-07
0,5.80E-08
0,5.84E-08
0,1.59E-07
0,2.21E-07
0,1.09E-07
0,2.01E-07
0,5.97E-08
0,4.96E-08
0,4.60E-08
0,1.62E-07
0,4.85E-08
0,6.33E-08
0,3.82E-08
0,4.48E-07
0,2.08E-08
0,7.49E-08
0,1.19E-07
0,1.14E-07
0,1.26E-07
0,1.10E-07
0,2.12E-07
0,3.10E-08
0,2.49E-07
0,3.42E-08
0,1.74E-07
0,2.28E-07
0,9.24E-08
0,3.23E-08
0,1.09E-08
0,7.19E-07
0,5.08E-07
0,1.86E-07
0,2.75E-08
0,1.89E-07
0,2.06E-07
0,1.11E-07
0,4.47E-08
0,1.16E-07
0,1.39E-07
0,1.93E-07
0,2.78E-07
0,1.17E-08
0,7.44E-09
0,3.07E-08
0,4.02E-07
0,3.45E-08
0,9.69E-08
0,1.60E-08
0,2.94E-07
0,9.91E-08
0,1.31E-07
0,1.83E-07
0,9.13E-09
0,1.08E-07
0,1.02E-07
0,3.26E-08
0,8.86E-08
0,4.09E-08
0,4.28E-07
0,5.29E-08
0,8.29E-07
0,2.09E-07
0,2.95E-08
0,1.06E-07
0,1.40E-07
0,8.35E-07
0,4.06E-09
0,2.22E-08
0,3.22E-08
0,4.04E-09
0,2.39E-08
0,2.38E-08
0,1.05E-07
0,5.62E-08
0,4.53E-08
0,1.47E-07
0,1.76E-07
0,4.48E-08
0,1.85E-08
0,6.54E-08
0,1.10E-07
0,4.00E-08
0,1.68E-08
0,7.22E-07
0,3.44E-08
0,1.80E-07
0,4.36E-08
0,1.45E-07
0,6.55E-08
0,1.97E-08
0,7.75E-08
0,1.59E-08
0,8.56E-08
0,1.36E-07
0,2.16E-08
0,4.28E-08
0,6.30E-08
0,3.64E-08
0,6.55E-08
0,6.66E-07
0,2.88E-08
0,8.40E-08
0,1.56E-07
0,1.48E-07
0,3.82E-08
0,1.17E-06
0,6.77E-08
0,3.72E-07
0,1.17E-08
0,7.95E-08
0,1.18E-08
0,1.54E-07
0,3.55E-08
0,4.49E-07
0,4.49E-08
0,7.34E-09
0,1.61E-07
0,1.86E-08
0,1.37E-08
0,3.74E-08
0,2.14E-07
0,8.61E-08
0,3.94E-08
0,1.83E-07
0,5.96E-08
0,8.68E-07
0,3.77E-07
0,2.82E-08
0,9.91E-08
0,1.45E-08
0,2.30E-08
0,6.25E-08
0,7.26E-08
0,9.57E-08
0,5.37E-07
0,7.75E-08
0,1.20E-07
0,8.55E-08
0,6.26E-08
0,1.78E-07
0,1.28E-08
0,1.14E-07
0,1.32E-07
0,3.20E-08
0,3.34E-08
0,6.41E-08
0,4.61E-08
0,6.23E-08
0,1.73E-08
0,1.01E-07
0,1.00E-07
0,2.03E-08
0,1.58E-07
0,3.66E-08
0,4.95E-08
0,3.27E-08
0,3.06E-08
0,1.45E-08
0,2.95E-07
0,4.82E-08
0,1.94E-07
0,5.65E-08
0,2.85E-08
0,1.41E-08
0,2.71E-08
0,3.18E-07
0,1.78E-08
0,7.71E-07
0,4.83E-08
0,3.49E-08
0,4.43E-08
0,2.74E-08
0,3.38E-08
0,1.18E-07
0,1.14E-06
0,3.08E-08
0,4.11E-07
0,3.91E-08
0,1.52E-08
0,6.09E-08
