labels,scores
0,6.36E-11
0,6.07E-11
0,5.94E-11
0,6.22E-11
0,5.70E-11
0,5.79E-11
0,6.31E-11
0,6.47E-11
0,6.91E-11
0,7.14E-11
0,5.58E-11
0,6.90E-11
0,6.32E-11
0,6.85E-11
0,6.66E-11
0,6.66E-11
0,6.66E-11
0,6.62E-11
0,6.54E-11
0,6.38E-11
0,6.40E-11
0,6.03E-11
0,6.17E-11
0,6.24E-11
0,6.26E-11
0,6.33E-11
0,6.03E-11
0,5.73E-11
0,5.95E-11
0,6.10E-11
0,6.26E-11
0,6.27E-11
0,6.30E-11
0,6.31E-11
0,7.15E-11
0,7.73E-11
0,5.97E-11
0,5.72E-11
0,5.71E-11
0,6.64E-11
0,6.57E-11
0,6.41E-11
0,6.37E-11
0,6.54E-11
0,6.19E-11
0,6.04E-11
0,6.10E-11
0,6.04E-11
0,6.27E-11
0,6.25E-11
0,6.27E-11
0,6.30E-11
0,5.73E-11
0,5.84E-11
0,6.14E-11
0,6.33E-11
0,6.34E-11
0,8.87E-11
0,8.74E-11
0,7.49E-11
0,6.30E-11
0,6.43E-11
0,5.67E-11
0,5.69E-11
0,6.79E-11
0,6.65E-11
0,6.40E-11
0,6.37E-11
0,6.36E-11
0,6.30E-11
0,6.21E-11
0,6.21E-11
0,6.16E-11
0,6.20E-11
0,6.17E-11
0,6.39E-11
0,6.41E-11
0,6.32E-11
0,6.23E-11
0,6.37E-11
0,6.19E-11
0,6.17E-11
0,6.20E-11
0,6.25E-11
0,6.28E-11
0,5.92E-11
0,6.42E-11
0,5.98E-11
0,6.26E-11
0,6.39E-11
0,7.16E-11
0,6.42E-11
0,6.28E-11
0,6.03E-11
0,5.96E-11
0,6.66E-11
0,6.66E-11
0,6.63E-11
0,6.58E-11
0,6.38E-11
0,6.33E-11
0,6.24E-11
0,6.20E-11
0,6.19E-11
0,6.26E-11
0,6.27E-11
0,6.13E-11
0,5.97E-11
0,6.07E-11
0,6.22E-11
0,6.25E-11
0,6.26E-11
0,6.31E-11
0,6.02E-11
0,6.49E-11
0,6.13E-11
0,5.85E-11
0,5.78E-11
0,5.75E-11
0,6.67E-11
0,6.66E-11
0,5.98E-11
0,6.27E-11
0,6.25E-11
0,6.32E-11
0,6.53E-11
0,6.26E-11
0,6.22E-11
0,5.94E-11
0,5.80E-11
0,5.83E-11
0,5.81E-11
0,6.04E-11
0,6.08E-11
0,6.25E-11
0,6.24E-11
0,6.30E-11
0,6.00E-11
0,5.89E-11
0,6.64E-11
0,6.12E-11
0,6.46E-11
0,6.45E-11
0,6.22E-11
0,6.17E-11
0,6.19E-11
0,6.18E-11
0,6.43E-11
0,6.33E-11
0,5.80E-11
0,5.89E-11
0,6.02E-11
0,6.01E-11
0,6.06E-11
0,6.32E-11
0,6.22E-11
0,5.90E-11
0,6.26E-11
0,5.82E-11
0,5.82E-11
0,6.03E-11
0,6.67E-11
0,6.47E-11
0,6.46E-11
0,6.42E-11
0,6.69E-11
0,6.22E-11
0,6.17E-11
0,6.70E-11
0,6.70E-11
0,6.42E-11
0,6.31E-11
0,6.16E-11
0,6.07E-11
0,6.03E-11
0,5.94E-11
0,5.89E-11
0,5.92E-11
0,6.11E-11
0,6.12E-11
0,6.15E-11
0,6.27E-11
0,6.06E-11
0,6.01E-11
0,5.82E-11
0,6.69E-11
0,6.74E-11
0,6.76E-11
0,6.18E-11
0,6.23E-11
0,6.74E-11
0,6.33E-11
0,6.47E-11
0,6.51E-11
0,6.35E-11
0,6.45E-11
0,6.07E-11
0,6.02E-11
0,6.14E-11
0,6.09E-11
0,6.07E-11
0,6.62E-11
0,6.05E-11
0,6.03E-11
0,6.01E-11
0,6.78E-11
0,6.78E-11
0,6.74E-11
0,6.75E-11
0,6.58E-11
0,6.63E-11
0,6.23E-11
0,6.23E-11
0,6.37E-11
0,6.48E-11
0,6.50E-11
0,6.42E-11
0,6.56E-11
0,6.63E-11
0,6.37E-11
0,5.86E-11
0,6.08E-11
0,6.15E-11
0,6.12E-11
0,5.99E-11
0,5.99E-11
0,6.75E-11
0,6.74E-11
0,6.61E-11
0,6.69E-11
0,6.31E-11
0,6.25E-11
0,6.21E-11
0,6.16E-11
0,6.15E-11
0,6.22E-11
0,6.56E-11
0,6.52E-11
0,6.51E-11
0,6.42E-11
0,6.29E-11
0,6.36E-11
0,6.60E-11
0,6.08E-11
0,6.16E-11
0,5.96E-11
0,6.35E-11
0,6.63E-11
0,6.63E-11
0,6.76E-11
0,6.95E-11
0,6.67E-11
0,6.09E-11
0,6.38E-11
0,6.38E-11
0,6.19E-11
0,6.13E-11
0,6.71E-11
0,6.52E-11
0,6.43E-11
0,6.48E-11
0,6.73E-11
0,7.22E-11
0,6.14E-11
0,5.92E-11
0,5.98E-11
0,6.00E-11
0,6.05E-11
0,6.12E-11
0,6.24E-11
0,5.99E-11
0,6.64E-11
0,6.67E-11
0,6.57E-11
0,6.01E-11
0,6.31E-11
0,6.14E-11
0,6.12E-11
0,6.10E-11
0,6.05E-11
0,6.19E-11
0,6.58E-11
0,6.62E-11
0,6.35E-11
0,6.56E-11
0,6.37E-11
0,6.32E-11
0,6.22E-11
0,6.08E-11
0,6.17E-11
0,6.53E-11
0,6.04E-11
0,6.07E-11
0,6.63E-11
0,6.63E-11
0,6.65E-11
0,6.68E-11
0,7.10E-11
0,6.56E-11
0,6.42E-11
0,6.12E-11
0,6.07E-11
0,5.96E-11
0,6.37E-11
0,6.54E-11
0,6.34E-11
0,6.27E-11
0,6.10E-11
0,6.02E-11
0,6.11E-11
0,7.01E-11
0,6.38E-11
0,6.49E-11
0,6.52E-11
0,6.49E-11
0,6.37E-11
0,6.42E-11
0,6.44E-11
0,6.45E-11
0,6.35E-11
0,6.17E-11
0,6.02E-11
0,6.40E-11
0,6.13E-11
0,6.63E-11
0,6.41E-11
0,6.13E-11
0,6.05E-11
0,5.96E-11
0,6.62E-11
0,6.43E-11
0,6.40E-11
0,5.96E-11
0,5.93E-11
0,6.06E-11
0,5.92E-11
0,6.66E-11
0,6.73E-11
0,6.34E-11
0,6.39E-11
0,6.41E-11
0,6.19E-11
0,6.59E-11
0,6.25E-11
0,6.08E-11
0,6.08E-11
0,6.62E-11
0,6.62E-11
0,6.61E-11
0,6.58E-11
0,5.97E-11
0,5.89E-11
0,6.07E-11
0,6.47E-11
0,6.49E-11
0,6.24E-11
0,5.90E-11
0,6.89E-11
0,6.42E-11
0,6.19E-11
0,6.27E-11
0,6.29E-11
0,6.24E-11
0,6.58E-11
0,6.65E-11
0,6.81E-11
0,6.16E-11
0,6.33E-11
0,6.29E-11
0,6.19E-11
0,5.85E-11
0,5.78E-11
0,6.50E-11
0,6.39E-11
0,6.18E-11
0,6.08E-11
0,6.43E-11
0,6.32E-11
0,6.34E-11
0,6.48E-11
0,6.63E-11
0,6.03E-11
0,6.20E-11
0,5.90E-11
0,5.94E-11
0,6.62E-11
0,6.09E-11
0,5.84E-11
0,5.80E-11
0,6.08E-11
0,6.42E-11
0,6.42E-11
0,6.48E-11
0,6.48E-11
0,6.07E-11
0,6.29E-11
0,6.17E-11
0,6.05E-11
0,6.12E-11
0,6.43E-11
0,6.58E-11
